"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","PCDH20",1.78584776664801e-17,-1.6701978661853,4.10927831386248e-18,0.99999999838258,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ROPN1B",1.78216846094711e-17,-1.67035578329322,4.09236341596946e-18,0.999999998385912,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PSG5",1.75830459580632e-17,-1.67138741825169,3.98350080004384e-18,0.999999998407525,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","XKR4",1.75147571421791e-17,-1.67168501674669,3.95261874436408e-18,0.99999999841371,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TIMD4",1.699974108079e-17,-1.67396467321736,3.72358523722096e-18,0.999999998460355,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PIP5K1B",1.6998275352131e-17,-1.67397125186187,3.72294316505241e-18,0.999999998460487,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ST8SIA6",1.69953723561628e-17,-1.67398428295801,3.72167165180819e-18,0.99999999846075,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ADRA2B",1.69474432828798e-17,-1.67419972753534,3.70071009263615e-18,0.999999998465091,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AC073476.3",1.68252617834239e-17,-1.6747515048042,3.64754237906809e-18,0.999999998476157,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC01291",1.66905287348387e-17,-1.67536428343233,3.58935881909105e-18,0.99999999848836,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","COL28A1",1.6648729050673e-17,-1.67555532340133,3.57140298377135e-18,0.999999998492145,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IGHV4-39",1.64852042808093e-17,-1.67630698423894,3.50159047791405e-18,0.999999998506956,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
