"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_717","Y_639",1,4.46773221569009,-3.8382556160698,4.29151888024701,-3.82110496636626
"Y_657","Y_639",1,4.46773221569009,-3.8382556160698,4.67710201926076,-3.79263232306517
"Y_657","Y_486",1,4.74993614544131,-3.5875223963357,4.67710201926076,-3.79263232306517
"Y_641","Y_588",1,4.34109745296919,-4.14152209335479,4.44638120073542,-4.01350915530389
"Y_641","Y_639",1,4.46773221569009,-3.8382556160698,4.44638120073542,-4.01350915530389
"Y_642","Y_638",1,-4.88241555040784,10.9222038757714,-4.93989118876058,10.7636194132136
"Y_729","Y_194",1,-4.42884468033991,11.5125060994027,-4.31088531571027,11.7036861682022
"Y_729","Y_637",1,-4.11002819041064,11.8571079409884,-4.31088531571027,11.7036861682022
"Y_643","Y_633",1,-7.37776918585625,-2.7018368913403,-7.28226806863255,-2.67483040036945
"Y_643","Y_594",1,-7.18718232892776,-2.71957476473658,-7.28226806863255,-2.67483040036945
"Y_697","Y_630",1,5.82756600875202,-4.51734086030991,5.69934107878734,-4.4183153491255
"Y_697","Y_242",1,5.82948618718665,-4.28512485501115,5.69934107878734,-4.4183153491255
"Y_697","Y_47",1,5.57903977673039,-4.55779324521065,5.69934107878734,-4.4183153491255
"Y_660","Y_628",1,-9.18800240494883,-1.64275802498935,-9.22833405023058,-1.38680071656716
"Y_660","Y_228",1,-9.13512058422406,-1.12045930053292,-9.22833405023058,-1.38680071656716
"Y_634","Y_595",1,-9.21493615892929,-2.07806562544442,-9.02680657299667,-1.87311858364876
"Y_634","Y_628",1,-9.18800240494883,-1.64275802498935,-9.02680657299667,-1.87311858364876
"Y_692","Y_75",1,2.2774235906974,-2.91285947470381,2.39773462147817,-3.11376970557777
"Y_692","Y_624",1,2.15948966740004,-3.27013679206958,2.39773462147817,-3.11376970557777
"Y_652","Y_54",1,2.01839096772729,-3.87625782149495,2.21274618145761,-3.48857301037793
"Y_652","Y_624",1,2.15948966740004,-3.27013679206958,2.21274618145761,-3.48857301037793
"Y_708","Y_622",1,3.82852558755099,-4.25806321387838,3.67962761256043,-4.22650519299056
"Y_674","Y_622",1,3.82852558755099,-4.25806321387838,3.90959896180745,-4.1212088424944
"Y_674","Y_614",1,3.80534245708203,-3.97860039856328,3.90959896180745,-4.1212088424944
"Y_747","Y_172",1,-4.7273050136436,9.92895111708543,-4.73165704454826,10.1094958809183
"Y_747","Y_86",1,-4.55658557848855,10.1996175869889,-4.73165704454826,10.1094958809183
"Y_747","Y_620",1,-4.89060137635635,10.1628330359392,-4.73165704454826,10.1094958809183
"Y_636","Y_619",1,3.9536417112936,-4.8604934041448,4.04387376479018,-5.05736938237547
"Y_636","Y_289",1,3.88252388257292,-5.26597264116068,4.04387376479018,-5.05736938237547
